                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5419,                 2.6473,                 1.4233,                0.69412,                 0.6406,                0.69524,                0.38737,                 1.2742,                 1.5532,                 1.1643,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.5567,                 1.8048,                 1.4063,                0.63055,                0.53026,                0.58186,                0.31095,                 1.5496,                 1.6674,                 1.3635,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.7022,                 1.8624,                 1.5306,                0.57265,                0.42276,                 0.4657,                0.24583,                 1.7605,                 1.9071,                 1.5359,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.7486,                 1.8764,                 1.5973,                0.71441,                0.56007,                0.65439,                0.38287,                 1.4379,                 1.4713,                 1.3725,               0.009703,               0.009703,               0.009703
                      5,                 1.6547,                  1.693,                 1.5348,                0.76171,                 0.6224,                0.71129,                0.42171,                 1.4109,                 1.3296,                 1.3462,               0.009604,               0.009604,               0.009604
                      6,                 1.5827,                 1.5711,                 1.4848,                0.78322,                0.68865,                0.77929,                 0.4773,                 1.2933,                 1.1763,                 1.2763,               0.009505,               0.009505,               0.009505
                      7,                 1.5247,                 1.4808,                 1.4475,                0.79594,                0.72358,                0.80288,                0.52349,                 1.2107,                 1.0747,                 1.2098,               0.009406,               0.009406,               0.009406
                      8,                 1.4955,                  1.411,                 1.4263,                  0.807,                0.73713,                0.82406,                0.53701,                 1.1836,                 1.0249,                 1.2038,               0.009307,               0.009307,               0.009307
                      9,                 1.4559,                 1.3304,                 1.3895,                0.82143,                0.75023,                0.84414,                0.55996,                  1.165,                0.96805,                 1.1917,               0.009208,               0.009208,               0.009208
                     10,                 1.4332,                 1.2906,                 1.3743,                0.85212,                0.76518,                 0.8618,                0.56864,                 1.1354,                0.93331,                 1.1674,               0.009109,               0.009109,               0.009109
                     11,                 1.4111,                 1.2534,                 1.3579,                 0.8618,                0.76694,                0.87434,                0.59237,                  1.104,                0.88218,                 1.1504,                0.00901,                0.00901,                0.00901
                     12,                 1.3832,                 1.2251,                 1.3421,                 0.8704,                0.79088,                0.88401,                0.60139,                 1.0836,                0.85399,                 1.1225,               0.008911,               0.008911,               0.008911
                     13,                 1.3669,                 1.1875,                  1.323,                0.86249,                0.81752,                0.89497,                0.62275,                 1.0639,                0.82024,                 1.1154,               0.008812,               0.008812,               0.008812
                     14,                 1.3346,                 1.1481,                 1.3026,                0.86033,                 0.8234,                0.89658,                0.62542,                 1.0421,                0.80115,                 1.1008,               0.008713,               0.008713,               0.008713
                     15,                 1.3198,                 1.1281,                  1.295,                0.88297,                0.81527,                0.90804,                0.64377,                 1.0097,                0.77936,                 1.0898,               0.008614,               0.008614,               0.008614
                     16,                 1.3113,                 1.1092,                 1.2843,                0.88662,                0.82836,                 0.9181,                0.65625,                0.99402,                0.74046,                 1.0739,               0.008515,               0.008515,               0.008515
                     17,                 1.3068,                 1.0981,                 1.2832,                0.88009,                0.84863,                0.92291,                0.66627,                0.97341,                0.72626,                  1.059,               0.008416,               0.008416,               0.008416
                     18,                 1.2884,                 1.0696,                  1.271,                0.88822,                0.86499,                0.92844,                0.66677,                0.96994,                0.70302,                  1.058,               0.008317,               0.008317,               0.008317
                     19,                 1.2787,                 1.0509,                  1.261,                0.89712,                0.85863,                0.92789,                0.67746,                0.96273,                0.69508,                 1.0579,               0.008218,               0.008218,               0.008218
                     20,                 1.2657,                 1.0358,                 1.2528,                0.90274,                0.87203,                 0.9357,                0.68934,                0.93424,                0.67184,                 1.0407,               0.008119,               0.008119,               0.008119
                     21,                  1.255,                 1.0198,                 1.2434,                 0.8911,                0.87669,                0.93926,                0.69239,                0.93254,                0.65896,                 1.0354,                0.00802,                0.00802,                0.00802
                     22,                 1.2489,                 1.0106,                 1.2402,                0.91287,                0.89115,                0.94606,                0.69882,                0.92494,                0.64614,                 1.0364,               0.007921,               0.007921,               0.007921
                     23,                 1.2431,                 1.0002,                 1.2411,                0.91688,                0.86811,                0.94433,                    0.7,                 0.9138,                0.64264,                 1.0247,               0.007822,               0.007822,               0.007822
                     24,                 1.2228,                 0.9748,                 1.2255,                 0.9234,                0.87218,                0.95047,                0.71013,                0.90196,                0.62037,                 1.0213,               0.007723,               0.007723,               0.007723
                     25,                 1.2224,                0.97513,                 1.2229,                0.92306,                0.88324,                0.95179,                0.71192,                0.90315,                0.62196,                 1.0189,               0.007624,               0.007624,               0.007624
                     26,                 1.2103,                0.95141,                 1.2147,                0.92595,                 0.8907,                 0.9541,                0.71574,                0.89315,                0.60546,                 1.0168,               0.007525,               0.007525,               0.007525
                     27,                 1.2024,                0.94542,                 1.2105,                0.92592,                0.89521,                0.95801,                0.72414,                0.88519,                0.59366,                  1.012,               0.007426,               0.007426,               0.007426
                     28,                  1.203,                0.93769,                  1.208,                0.93057,                0.89592,                0.95492,                0.72312,                0.88211,                0.59036,                 1.0086,               0.007327,               0.007327,               0.007327
                     29,                 1.1874,                0.91542,                 1.2025,                0.92275,                0.90244,                0.96135,                0.72867,                0.87866,                0.57832,                 1.0066,               0.007228,               0.007228,               0.007228
                     30,                 1.1809,                 0.9061,                 1.1936,                0.93618,                0.89438,                0.96131,                0.72944,                0.86989,                 0.5759,                 1.0009,               0.007129,               0.007129,               0.007129
                     31,                 1.1733,                0.89902,                 1.1912,                0.92488,                 0.9065,                0.96039,                0.73123,                0.86157,                0.56641,                0.99623,                0.00703,                0.00703,                0.00703
                     32,                 1.1649,                0.88999,                 1.1858,                0.93715,                 0.8957,                 0.9623,                0.73747,                0.85862,                 0.5642,                0.99208,               0.006931,               0.006931,               0.006931
                     33,                   1.16,                0.87929,                  1.184,                0.93349,                0.90605,                0.96297,                0.74025,                0.85279,                0.55513,                0.99342,               0.006832,               0.006832,               0.006832
                     34,                 1.1583,                0.87192,                 1.1784,                0.92956,                0.90599,                0.96542,                0.74515,                0.84568,                0.54709,                0.98788,               0.006733,               0.006733,               0.006733
                     35,                 1.1513,                0.87125,                 1.1773,                0.93382,                0.90696,                 0.9665,                0.74636,                0.84145,                0.54095,                0.98631,               0.006634,               0.006634,               0.006634
                     36,                 1.1393,                0.85748,                 1.1664,                0.93879,                0.90831,                0.96851,                0.74876,                0.83859,                0.53385,                0.98338,               0.006535,               0.006535,               0.006535
                     37,                 1.1331,                0.84128,                 1.1635,                0.93681,                0.90605,                0.96697,                0.74933,                 0.8353,                 0.5325,                0.98049,               0.006436,               0.006436,               0.006436
                     38,                 1.1285,                0.84102,                 1.1642,                0.93961,                0.90018,                0.96558,                0.74987,                0.83011,                0.53088,                0.97744,               0.006337,               0.006337,               0.006337
                     39,                 1.1279,                0.84272,                 1.1609,                0.93526,                0.90108,                 0.9659,                 0.7526,                0.82283,                0.52761,                0.97482,               0.006238,               0.006238,               0.006238
